Ticker,Date,Prediction,Model,F1_Score,Confidence
AAA,2025-04-13,1,svm,0.5217391304347826,0.5303672103623465
AAM,2025-04-13,0,svm,0.5714285714285714,0.5974175231906721
ABI,2025-04-13,1,svm,0.6440677966101694,0.544236678062566
ABT,2025-04-13,1,svm,0.4878048780487805,0.5530158601926138
ACB,2025-04-13,1,svm,0.4390243902439024,0.7722350836689947
ACC,2025-04-13,0,lstm,0.2,0.5751190185546875
ACE,2025-04-13,1,lstm,0.6666666666666666,0.8013359308242798
ACL,2025-04-13,1,svm,0.4102564102564102,0.46807684605044686
ADC,2025-04-13,1,svm,0.6885245901639344,0.6038688992012321
ADP,2025-04-13,1,svm,0.7692307692307693,0.6370314118080506
AGF,2025-04-13,1,lstm,0.75,0.820910632610321
AGM,2025-04-13,1,transformer,0.425531914893617,0.5546805262565613
AGR,2025-04-13,1,logistic_regression,0.5714285714285714,0.5747193797730351
ALT,2025-04-13,1,svm,0.6666666666666666,0.5899523361647929
ALV,2025-04-13,0,svm,0.3529411764705882,0.680364619161778
AMC,2025-04-13,0,transformer,0.7333333333333333,0.5064721703529358
AME,2025-04-13,0,lstm,0.7368421052631579,0.5383771061897278
AMV,2025-04-13,1,lstm,0.7692307692307693,0.5934141278266907
ANV,2025-04-13,1,svm,0.6440677966101694,0.5
APC,2025-04-13,0,lstm,0.7241379310344828,0.5043207406997681
APG,2025-04-13,0,svm,0.1052631578947368,0.6373764358734203
API,2025-04-13,1,svm,0.6071428571428571,0.8346574696533003
APP,2025-04-13,1,svm,0.6666666666666666,0.5797702973453834
APS,2025-04-13,1,logistic_regression,0.5957446808510638,0.5026223345529007
ARM,2025-04-13,1,svm,0.7692307692307693,0.6259959832970994
ASA,2025-04-13,1,lstm,0.9873417721518988,0.8277846574783325
ASM,2025-04-13,1,logistic_regression,0.3783783783783784,0.7954864881311949
ASP,2025-04-13,0,svm,0.68,0.515353143422925
ATA,2025-04-13,1,lstm,0.8059701492537313,0.5489650964736938
AVF,2025-04-13,1,lstm,0.9873417721518988,0.7438624501228333
BBC,2025-04-13,1,svm,0.75,0.5055322266375999
BBS,2025-04-13,1,lstm,0.9333333333333332,0.918899416923523
BCC,2025-04-13,1,svm,0.5333333333333333,0.5075140910567685
BCE,2025-04-13,0,svm,0.6938775510204082,0.5
BDB,2025-04-13,1,lstm,0.9473684210526316,0.9255208373069763
BED,2025-04-13,1,lstm,0.9873417721518988,0.9652220606803894
BHC,2025-04-13,1,svm,0.6037735849056604,0.8920512008938892
BIC,2025-04-13,1,svm,0.3636363636363636,0.5192785442691356
BKC,2025-04-13,1,svm,0.7301587301587301,0.5745258519615837
BLF,2025-04-13,1,svm,0.6440677966101694,0.5584588460994957
BMC,2025-04-13,1,svm,0.3529411764705882,0.5895975460675446
BMI,2025-04-13,0,svm,0.4545454545454545,0.5055167894377576
BMJ,2025-04-13,1,svm,0.75,0.7400213512695821
BMP,2025-04-13,1,svm,0.6206896551724138,0.7965996843990164
BPC,2025-04-13,1,svm,0.8059701492537313,0.5476556684805861
BRC,2025-04-13,1,lstm,0.7936507936507936,0.5954864025115967
BSC,2025-04-13,1,lstm,0.9873417721518988,0.9849545955657959
BSI,2025-04-13,0,svm,0.4375,0.7267846242836788
BST,2025-04-13,0,svm,0.625,0.6383512323613292
BT6,2025-04-13,1,lstm,0.9873417721518988,0.7156186103820801
BTG,2025-04-13,1,lstm,0.9041095890410958,0.8866255283355713
BTH,2025-04-13,1,svm,0.6440677966101694,0.9800515372775629
BTP,2025-04-13,1,svm,0.6046511627906976,0.5154338862024908
BTS,2025-04-13,1,logistic_regression,0.8666666666666667,0.6036152182502755
BTT,2025-04-13,1,svm,0.8235294117647058,0.542167715368639
BTW,2025-04-13,0,transformer,0.7636363636363637,0.5762329697608948
BVG,2025-04-13,0,transformer,0.8857142857142857,0.5006557106971741
BVH,2025-04-13,1,transformer,0.6785714285714286,0.5716320872306824
BVN,2025-04-13,1,transformer,0.6896551724137931,0.6756349205970764
BVS,2025-04-13,1,lstm,0.7096774193548387,0.6992443203926086
BWA,2025-04-13,1,logistic_regression,0.8484848484848485,0.870572791547868
