Ticker,Date,Prediction,Model,F1_Score,Confidence
BST,2025-05-11,0,svm,0.6666666666666666,0.7647751635837192
BT6,2025-05-11,1,lstm,0.9885057471264368,0.7682164311408997
BTG,2025-05-11,1,lstm,0.9135802469135802,0.7827375531196594
BTH,2025-05-11,1,transformer,0.6557377049180327,0.9626396894454956
BTP,2025-05-11,1,svm,0.631578947368421,0.515799209389481
BTS,2025-05-11,0,logistic_regression,0.7419354838709677,0.5147506056473151
BTT,2025-05-11,1,svm,0.8421052631578947,0.5421542293116592
BTW,2025-05-11,1,svm,0.7246376811594203,0.5726608040422271
BVG,2025-05-11,1,svm,0.9,0.6065899256757434
BVH,2025-05-11,1,transformer,0.6875,0.5384599566459656
BVN,2025-05-11,1,svm,0.6865671641791045,0.7475724018196392
BVS,2025-05-11,1,transformer,0.5116279069767442,0.5299243927001953
BWA,2025-05-11,1,svm,0.71875,0.7901866854911843
BXH,2025-05-11,1,lstm,0.6865671641791045,0.9795376658439636
C21,2025-05-11,0,logistic_regression,0.7540983606557377,0.5543740826055004
C32,2025-05-11,0,logistic_regression,0.358974358974359,0.8829101125228458
C47,2025-05-11,1,svm,0.6545454545454545,0.6618501170208668
C92,2025-05-11,1,svm,0.7777777777777778,0.8947460878722112
CAD,2025-05-11,1,lstm,0.8860759493670886,0.6209098696708679
CAN,2025-05-11,1,svm,0.8717948717948718,0.6561507702259393
CAP,2025-05-11,1,svm,0.5806451612903226,0.5100624732175385
CCI,2025-05-11,1,svm,0.7605633802816901,0.5417345082625058
CCL,2025-05-11,1,transformer,0.5416666666666666,0.5180115699768066
CCM,2025-05-11,1,svm,0.821917808219178,0.850012369218705
CDC,2025-05-11,1,svm,0.6031746031746031,0.5162642388552587
CHP,2025-05-11,1,lstm,0.7246376811594203,0.8235366940498352
CI5,2025-05-11,1,svm,0.7058823529411765,0.6250275437175634
CID,2025-05-11,1,svm,0.6666666666666666,0.9223252670054064
CIG,2025-05-11,0,logistic_regression,0.5909090909090909,0.9905130825592999
CII,2025-05-11,1,transformer,0.6333333333333333,0.6283836364746094
CJC,2025-05-11,1,lstm,0.9885057471264368,0.9709272980690002
CKV,2025-05-11,1,svm,0.8571428571428571,0.597821527579249
CLC,2025-05-11,1,svm,0.7945205479452054,0.5056927898511442
CLG,2025-05-11,1,transformer,0.9523809523809524,0.5123269557952881
CLW,2025-05-11,1,svm,0.8266666666666667,0.5795738697357986
CMC,2025-05-11,1,svm,0.4210526315789473,0.5251558710481852
CMG,2025-05-11,0,svm,0.6,0.6259851666899275
CMI,2025-05-11,1,lstm,0.8571428571428571,0.6252649426460266
CMS,2025-05-11,1,svm,0.1428571428571428,0.5
CMT,2025-05-11,1,transformer,0.3076923076923077,0.5195111632347107
CMV,2025-05-11,1,svm,0.7058823529411765,0.5977739078292639
CMX,2025-05-11,0,logistic_regression,0.3870967741935484,0.5046710991471394
CNG,2025-05-11,1,logistic_regression,0.631578947368421,0.6028391593097969
CNT,2025-05-11,1,svm,0.6031746031746031,0.5903023461830482
COM,2025-05-11,1,svm,0.7058823529411765,0.5289093391535403
CPC,2025-05-11,1,svm,0.7945205479452054,0.5094030858764859
CSC,2025-05-11,0,svm,0.425531914893617,0.5170371185217264
CSM,2025-05-11,1,lstm,0.6086956521739131,0.5831275582313538
CT3,2025-05-11,1,svm,0.8333333333333334,0.9572771021196705
CT6,2025-05-11,0,logistic_regression,0.3684210526315789,0.9525581050630785
CTA,2025-05-11,1,lstm,0.9885057471264368,0.8571549654006958
CTB,2025-05-11,1,svm,0.7058823529411765,0.5812787970793483
CTD,2025-05-11,1,svm,0.7058823529411765,0.5062543015302169
CTG,2025-05-11,0,transformer,0.5882352941176471,0.503032922744751
CTI,2025-05-11,1,svm,0.5238095238095238,0.531040480363486
CTN,2025-05-11,1,lstm,0.9885057471264368,0.6189113855361938
CTS,2025-05-11,1,lstm,0.6865671641791045,0.5219007134437561
CTX,2025-05-11,1,svm,0.9885057471264368,0.5343296353744621
CVN,2025-05-11,1,svm,0.926829268292683,0.5469882991902524
CVT,2025-05-11,0,logistic_regression,0.7761194029850746,0.5014545995302881
CX8,2025-05-11,1,svm,0.746268656716418,0.8389816409024528
CYC,2025-05-11,1,svm,0.926829268292683,0.558946774133594
D11,2025-05-11,0,lstm,0.6666666666666666,0.5197339057922363
D2D,2025-05-11,1,svm,0.4117647058823529,0.5
DAC,2025-05-11,1,lstm,0.7945205479452054,0.9137816429138184
DAD,2025-05-11,1,svm,0.7428571428571429,0.5120393750085617
DAE,2025-05-11,1,transformer,0.8108108108108109,0.7954632639884949
DAG,2025-05-11,1,lstm,0.9135802469135802,0.5669859647750854
DBC,2025-05-11,1,svm,0.5862068965517241,0.891356416701853
DBM,2025-05-11,1,svm,0.7605633802816901,0.6912798427011425
DBT,2025-05-11,0,logistic_regression,0.1739130434782608,0.7865293470836205
DC2,2025-05-11,1,svm,0.7605633802816901,0.5472840878928941
DC4,2025-05-11,1,svm,0.7246376811594203,0.5370190651636348
DCL,2025-05-11,1,logistic_regression,0.696969696969697,0.5809591626262187
DCS,2025-05-11,1,svm,0.8717948717948718,0.5968577326691984
DCT,2025-05-11,1,lstm,0.8571428571428571,0.80389404296875
DDM,2025-05-11,1,svm,0.7777777777777778,0.6805848902622803
DDN,2025-05-11,1,svm,0.8108108108108109,0.6483229206082495
DGT,2025-05-11,1,svm,0.6461538461538462,0.6835564174715852
DHA,2025-05-11,0,svm,0.24,0.5956531161007272
DHC,2025-05-11,1,svm,0.5964912280701754,0.6339065091091506
DHG,2025-05-11,1,svm,0.4375,0.7160159746829986
DHM,2025-05-11,1,logistic_regression,0.5641025641025641,0.8228886022272932
DHT,2025-05-11,0,logistic_regression,0.1481481481481481,0.9843748113039602
DIC,2025-05-11,0,logistic_regression,0.7540983606557377,0.6400159620544872
DID,2025-05-11,1,lstm,0.7419354838709677,0.5337129235267639
DIG,2025-05-11,1,lstm,0.6229508196721312,0.6214627027511597
DIH,2025-05-11,1,transformer,0.5,0.5185151696205139
DL1,2025-05-11,1,logistic_regression,0.6229508196721312,0.9663155106401805
DLD,2025-05-11,1,lstm,0.9,0.9854925274848938
DLG,2025-05-11,1,lstm,0.6274509803921569,0.5057336688041687
DLR,2025-05-11,1,transformer,0.9647058823529412,0.9473453760147095
DMC,2025-05-11,0,lstm,0.56,0.6106534600257874
DNC,2025-05-11,1,svm,0.8266666666666667,0.9253460919549658
DNL,2025-05-11,1,svm,0.9135802469135802,0.6452876612035964
DNM,2025-05-11,1,svm,0.7428571428571429,0.5428612228697344
DNP,2025-05-11,1,svm,0.625,0.5514316078698779
DNT,2025-05-11,1,lstm,0.9,0.8485906720161438
DPC,2025-05-11,1,svm,0.8974358974358975,0.6932452701256846
DPM,2025-05-11,1,lstm,0.6875,0.5055131316184998
DPP,2025-05-11,1,svm,0.9647058823529412,0.7740448526101673
DPR,2025-05-11,0,logistic_regression,0.7142857142857143,0.9950842740007833
DQC,2025-05-11,1,lstm,0.4827586206896552,0.5203597545623779
DRC,2025-05-11,1,logistic_regression,0.1052631578947368,0.5480580328557019
DRH,2025-05-11,1,svm,0.8421052631578947,0.5086366071511172
DRL,2025-05-11,1,lstm,0.6031746031746031,0.668925940990448
DSN,2025-05-11,0,logistic_regression,0.2142857142857142,0.72465555750566
DST,2025-05-11,1,lstm,0.7777777777777778,0.5974607467651367
DTA,2025-05-11,0,transformer,0.6341463414634146,0.5351946949958801
DTC,2025-05-11,1,lstm,0.6666666666666666,0.7169584631919861
DTL,2025-05-11,1,svm,0.7246376811594203,0.5624618638532031
DTT,2025-05-11,1,svm,0.7605633802816901,0.6595611468534675
DVP,2025-05-11,1,logistic_regression,0.6415094339622641,0.9357759994653698
DXG,2025-05-11,1,svm,0.8064516129032258,0.5074365015360145
DXL,2025-05-11,1,lstm,0.8717948717948718,0.5209144353866577
DXP,2025-05-11,1,logistic_regression,0.6349206349206349,0.5257452429704539
DXV,2025-05-11,0,transformer,0.6222222222222222,0.5317723155021667
DZM,2025-05-11,1,lstm,0.9885057471264368,0.6161114573478699
EBS,2025-05-11,1,svm,0.676923076923077,0.9814424529789976
ECI,2025-05-11,1,svm,0.926829268292683,0.9242880418411122
EFI,2025-05-11,0,lstm,0.7887323943661971,0.5295401811599731
EIB,2025-05-11,1,lstm,0.7058823529411765,0.7975274920463562
EID,2025-05-11,1,svm,0.7058823529411765,0.5
ELC,2025-05-11,1,svm,0.5964912280701754,0.7520256820179194
EVE,2025-05-11,0,transformer,0.48,0.5302339792251587
FBA,2025-05-11,1,lstm,0.9885057471264368,0.9934051632881165
FCN,2025-05-11,1,svm,0.576271186440678,0.5058382737447823
FDC,2025-05-11,1,transformer,0.8421052631578947,0.5933310389518738
FLC,2025-05-11,1,lstm,0.9885057471264368,0.6134158968925476
FMC,2025-05-11,1,lstm,0.6666666666666666,0.5644478797912598
FPT,2025-05-11,1,lstm,0.6666666666666666,0.6462640762329102
GAS,2025-05-11,1,logistic_regression,0.6153846153846154,0.7889775648969038
GDT,2025-05-11,1,logistic_regression,0.45,0.996656618813331
GDW,2025-05-11,1,svm,0.7246376811594203,0.6265984555977667
GER,2025-05-11,1,lstm,0.9397590361445785,0.9513466954231262
GGG,2025-05-11,1,svm,0.6666666666666666,0.7087403431378652
GHC,2025-05-11,1,logistic_regression,0.6557377049180327,0.9652857457331968
GIL,2025-05-11,0,logistic_regression,0.4390243902439024,0.7642643021619953
GLT,2025-05-11,0,logistic_regression,0.6666666666666666,0.5696129751137229
GMC,2025-05-11,1,lstm,0.65625,0.5873040556907654
GMD,2025-05-11,1,svm,0.6046511627906976,0.8493448395534631
GMX,2025-05-11,1,svm,0.7058823529411765,0.6904395049804183
GSP,2025-05-11,0,svm,0.56,0.49462301536872205
GTA,2025-05-11,0,logistic_regression,0.3902439024390244,0.5020238805753694
GTT,2025-05-11,1,lstm,0.9885057471264368,0.7024727463722229
H11,2025-05-11,1,svm,0.8108108108108109,0.9331622695091364
HAD,2025-05-11,1,svm,0.7945205479452054,0.5604127431041817
HAG,2025-05-11,0,svm,0.6956521739130435,0.4149811989865959
HAI,2025-05-11,0,lstm,0.0,0.5011944770812988
HAP,2025-05-11,0,svm,0.4761904761904761,0.5
HAS,2025-05-11,1,transformer,0.631578947368421,0.6025465726852417
HAT,2025-05-11,1,transformer,0.7761194029850746,0.5370385646820068
HAX,2025-05-11,1,svm,0.6666666666666666,0.5405129714730937
HBC,2025-05-11,0,lstm,0.7333333333333333,0.5147709250450134
HBD,2025-05-11,1,lstm,0.9135802469135802,0.8903675079345703
HBS,2025-05-11,1,svm,0.6666666666666666,0.5835463290994592
HCC,2025-05-11,1,svm,0.7777777777777778,0.5
HCI,2025-05-11,1,lstm,0.9885057471264368,0.9168062806129456
HCM,2025-05-11,1,svm,0.7246376811594203,0.6184571944679479
HCT,2025-05-11,1,svm,0.9397590361445785,0.6650084949670031
HDA,2025-05-11,1,lstm,0.7164179104477612,0.5104241371154785
HDC,2025-05-11,1,lstm,0.6666666666666666,0.5273541212081909
HDG,2025-05-11,1,transformer,0.6461538461538462,0.5509193539619446
HDM,2025-05-11,1,svm,0.7428571428571429,0.5925115271802617
HDO,2025-05-11,1,lstm,0.9885057471264368,0.9661693572998047
HEV,2025-05-11,1,lstm,0.9767441860465116,0.9898832440376282
HFC,2025-05-11,1,svm,0.7761194029850746,0.9171605407492338
HFX,2025-05-11,1,lstm,0.9,0.9703114032745361
HGM,2025-05-11,1,lstm,0.8108108108108109,0.8317312002182007
HHC,2025-05-11,1,transformer,0.9090909090909092,0.7369967103004456
HHG,2025-05-11,1,lstm,0.7428571428571429,0.6385392546653748
HHS,2025-05-11,1,transformer,0.6923076923076923,0.5021756887435913
HIG,2025-05-11,1,svm,0.7605633802816901,0.6110285818937341
HJS,2025-05-11,1,svm,0.5806451612903226,0.5666751528279411
HLA,2025-05-11,1,lstm,0.9885057471264368,0.7914769053459167
HLC,2025-05-11,1,svm,0.6865671641791045,0.6062604895301796
HLY,2025-05-11,1,transformer,0.88,0.5967918634414673
HMC,2025-05-11,1,svm,0.4878048780487805,0.6230326384171626
HMH,2025-05-11,1,svm,0.7945205479452054,0.5322477977030476
HNM,2025-05-11,1,svm,0.4545454545454545,0.5689843785381314
HOM,2025-05-11,1,transformer,0.6875,0.5161818861961365
HOT,2025-05-11,1,svm,0.8717948717948718,0.5782254660108223
HPB,2025-05-11,1,svm,0.9523809523809524,0.6958827475168254
HPG,2025-05-11,1,svm,0.5862068965517241,0.5207042643269209
HPP,2025-05-11,1,svm,0.6865671641791045,0.6155777628125341
HPT,2025-05-11,1,svm,0.7246376811594203,0.7302212295291068
HQC,2025-05-11,1,svm,0.6538461538461539,0.4874823115554395
HRC,2025-05-11,1,svm,0.7428571428571429,0.5360899872943681
HSG,2025-05-11,1,transformer,0.5172413793103449,0.5324133634567261
HSI,2025-05-11,1,lstm,0.8266666666666667,0.5504388213157654
HT1,2025-05-11,0,svm,0.4615384615384615,0.5205997892781025
HTC,2025-05-11,1,svm,0.7605633802816901,0.5856904361714661
HTI,2025-05-11,1,svm,0.5652173913043478,0.5351166807386479
HTL,2025-05-11,1,svm,0.7605633802816901,0.5276744905403868
HTP,2025-05-11,1,svm,0.5901639344262295,0.9275475305913715
HTV,2025-05-11,0,svm,0.7213114754098361,0.5169082515523041
HU1,2025-05-11,1,svm,0.5806451612903226,0.5360314652102911
HU3,2025-05-11,1,svm,0.7058823529411765,0.5152702204129219
HUT,2025-05-11,0,svm,0.2666666666666666,0.6212905950152581
HVG,2025-05-11,1,transformer,0.9885057471264368,0.62834632396698
HVT,2025-05-11,1,logistic_regression,0.6666666666666666,0.9999999997965563
HVX,2025-05-11,1,svm,0.6461538461538462,0.5227258081889339
ICF,2025-05-11,0,svm,0.5862068965517241,0.5
ICG,2025-05-11,1,svm,0.7058823529411765,0.5065835522563429
ICI,2025-05-11,1,svm,0.6451612903225806,0.9625174502323669
IDI,2025-05-11,1,lstm,0.6031746031746031,0.5447667241096497
IDJ,2025-05-11,1,lstm,0.625,0.5419287085533142
IDV,2025-05-11,1,svm,0.5806451612903226,0.5102917552708668
IFS,2025-05-11,0,lstm,0.0,0.7700917720794678
IHK,2025-05-11,1,svm,0.9,0.8908433570983484
IJC,2025-05-11,1,svm,0.696969696969697,0.5
ILC,2025-05-11,1,svm,0.625,0.6123506889696211
IME,2025-05-11,1,lstm,0.9767441860465116,0.9993694424629211
IMP,2025-05-11,0,svm,0.5,0.8769869414678589
IN4,2025-05-11,1,logistic_regression,0.7536231884057971,0.9854354068033706
INC,2025-05-11,1,svm,0.9397590361445785,0.5980200150858892
INN,2025-05-11,1,svm,0.7428571428571429,0.5
ITA,2025-05-11,1,svm,0.8421052631578947,0.5074474720508132
ITC,2025-05-11,0,transformer,0.6666666666666666,0.5004258751869202
ITD,2025-05-11,0,transformer,0.5416666666666666,0.5068739056587219
ITQ,2025-05-11,1,svm,0.6865671641791045,0.5917169314058884
IVS,2025-05-11,1,transformer,0.6181818181818182,0.5376149415969849
JVC,2025-05-11,0,logistic_regression,0.6785714285714286,0.5127523970052561
KAC,2025-05-11,1,lstm,0.9885057471264368,0.9653973579406738
KBC,2025-05-11,0,transformer,0.4848484848484848,0.5431793928146362
KCE,2025-05-11,1,svm,0.7605633802816901,0.8633110551726739
KDC,2025-05-11,1,logistic_regression,0.4390243902439024,0.6290054981515248
KDH,2025-05-11,1,lstm,0.6666666666666666,0.6519075632095337
KHL,2025-05-11,1,lstm,0.9885057471264368,0.8799024224281311
KHP,2025-05-11,1,transformer,0.5454545454545454,0.5183467268943787
KKC,2025-05-11,1,lstm,0.7246376811594203,0.5426895022392273
KMR,2025-05-11,0,logistic_regression,0.4242424242424242,0.5847406217872839
KMT,2025-05-11,1,svm,0.9523809523809524,0.9071961244972422
KSB,2025-05-11,0,lstm,0.3333333333333333,0.6561568379402161
KSD,2025-05-11,1,svm,0.7605633802816901,0.5516419272307705
KSH,2025-05-11,1,lstm,0.9885057471264368,0.6532043218612671
KST,2025-05-11,0,svm,0.6206896551724138,0.9482048410357149
KTS,2025-05-11,1,logistic_regression,0.6865671641791045,0.9595891588110148
KTT,2025-05-11,1,lstm,0.9090909090909092,0.6867364645004272
L10,2025-05-11,1,svm,0.7428571428571429,0.5363242699909181
L14,2025-05-11,1,lstm,0.6829268292682927,0.5118622183799744
L18,2025-05-11,1,logistic_regression,0.45,0.7067255031438571
L35,2025-05-11,1,svm,0.7605633802816901,0.5810234023444305
L43,2025-05-11,0,logistic_regression,0.3902439024390244,0.9644428487489833
L44,2025-05-11,1,svm,0.8571428571428571,0.6203340493214489
L61,2025-05-11,1,svm,0.7887323943661971,0.5795049505804586
L62,2025-05-11,1,transformer,0.7352941176470589,0.5709720849990845
LAF,2025-05-11,1,svm,0.6666666666666666,0.5553647614978569
LAS,2025-05-11,0,svm,0.6086956521739131,0.5176046642225139
LBE,2025-05-11,1,svm,0.8421052631578947,0.8634191616816013
LBM,2025-05-11,1,logistic_regression,0.6274509803921569,0.9999435864352534
LCC,2025-05-11,1,logistic_regression,0.8918918918918919,0.8772584247072907
LCD,2025-05-11,1,lstm,0.9767441860465116,0.7365875244140625
LCG,2025-05-11,0,logistic_regression,0.3870967741935484,0.9312364374351316
LCM,2025-05-11,0,lstm,0.6206896551724138,0.5024747252464294
LCS,2025-05-11,1,lstm,0.9,0.7671166658401489
LDP,2025-05-11,0,lstm,0.5405405405405406,0.5200190544128418
LGC,2025-05-11,0,transformer,0.868421052631579,0.5377763509750366
LGL,2025-05-11,0,logistic_regression,0.6545454545454545,0.5584568176323831
LHC,2025-05-11,0,logistic_regression,0.2068965517241379,0.9606634063289924
LHG,2025-05-11,1,lstm,0.6031746031746031,0.6644237637519836
LIG,2025-05-11,1,logistic_regression,0.75,0.9896188305055595
LIX,2025-05-11,1,logistic_regression,0.4615384615384615,0.7954591568330942
LKW,2025-05-11,1,transformer,0.8421052631578947,0.8679056167602539
LM3,2025-05-11,1,logistic_regression,0.9647058823529412,0.6639999422753736
LM7,2025-05-11,1,lstm,0.8571428571428571,0.6454001665115356
LM8,2025-05-11,1,transformer,0.7164179104477612,0.5167863368988037
LO5,2025-05-11,1,svm,0.8571428571428571,0.5921331827544604
LSS,2025-05-11,1,transformer,0.6086956521739131,0.5197107195854187
LTC,2025-05-11,1,svm,0.7428571428571429,0.6013732347816954
LUT,2025-05-11,1,lstm,0.8717948717948718,0.9605804681777954
MAC,2025-05-11,1,transformer,0.6875,0.5557733774185181
MAS,2025-05-11,1,svm,0.7428571428571429,0.526382903565979
MBB,2025-05-11,0,logistic_regression,0.5365853658536586,0.9830461661357488
MCC,2025-05-11,1,svm,0.9647058823529412,0.9662967510790293
MCF,2025-05-11,1,svm,0.7428571428571429,0.5438333948931311
MCG,2025-05-11,1,lstm,0.7692307692307693,0.5281078815460205
MCO,2025-05-11,1,svm,0.5573770491803278,0.5757870937762676
MCP,2025-05-11,1,svm,0.7246376811594203,0.5342806589351379
MDC,2025-05-11,1,svm,0.7777777777777778,0.5589789999829572
MDF,2025-05-11,1,svm,0.7246376811594203,0.6147321447105696
MDG,2025-05-11,1,svm,0.8717948717948718,0.5262056637969708
MEC,2025-05-11,1,svm,0.6865671641791045,0.5715452983334491
MEF,2025-05-11,1,lstm,0.9885057471264368,0.9750596880912781
MHC,2025-05-11,1,svm,0.5573770491803278,0.5100033342743695
MHL,2025-05-11,1,lstm,0.9885057471264368,0.7324761152267456
MIC,2025-05-11,1,svm,0.6129032258064516,0.5930425991236341
MIM,2025-05-11,1,lstm,0.9885057471264368,0.6245017051696777
MKV,2025-05-11,1,transformer,0.7428571428571429,0.6235361695289612
MPC,2025-05-11,1,svm,0.4827586206896552,0.5485059721840047
MSN,2025-05-11,1,lstm,0.6666666666666666,0.541465699672699
MTC,2025-05-11,1,lstm,0.9523809523809524,0.9656438231468201
MTG,2025-05-11,1,svm,0.7246376811594203,0.6366198208845427
MTH,2025-05-11,1,svm,0.9135802469135802,0.6457273736198418
MTP,2025-05-11,1,svm,0.8571428571428571,0.6954568944534492
NAG,2025-05-11,1,svm,0.7246376811594203,0.5185283339800617
NAV,2025-05-11,1,lstm,0.7428571428571429,0.9632879495620728
NBB,2025-05-11,1,svm,0.6349206349206349,0.4849238461958881
NBC,2025-05-11,1,svm,0.35,0.4926459896246603
NBP,2025-05-11,1,svm,0.7428571428571429,0.6001438939835219
NBW,2025-05-11,1,svm,0.7428571428571429,0.6234138496781172
ND2,2025-05-11,1,svm,0.7777777777777778,0.6481696718748743
NDC,2025-05-11,1,svm,0.7428571428571429,0.6336673425527324
NDN,2025-05-11,0,transformer,0.5,0.5292103290557861
NET,2025-05-11,1,transformer,0.5,0.5341799259185791
NGC,2025-05-11,1,svm,0.9767441860465116,0.6528561702118812
NHA,2025-05-11,0,logistic_regression,0.2142857142857142,0.7619066679457012
NHC,2025-05-11,1,lstm,0.8421052631578947,0.5639818906784058
NKG,2025-05-11,1,lstm,0.5573770491803278,0.6500649452209473
NNC,2025-05-11,0,transformer,0.68,0.6988348960876465
NNT,2025-05-11,0,svm,0.2105263157894736,0.9999998999999902
NOS,2025-05-11,1,svm,0.7605633802816901,0.6120822099727407
NSC,2025-05-11,0,logistic_regression,0.7317073170731707,0.8326924289560983
NST,2025-05-11,1,svm,0.7058823529411765,0.5618573682128677
NT2,2025-05-11,1,svm,0.625,0.5053361057610298
NTB,2025-05-11,1,lstm,0.9885057471264368,0.7178554534912109
NTL,2025-05-11,1,logistic_regression,0.6779661016949152,0.662118771703148
NTP,2025-05-11,1,logistic_regression,0.3684210526315789,0.9991254731640715
NTW,2025-05-11,1,svm,0.7945205479452054,0.5610927790885855
NVB,2025-05-11,0,lstm,0.7142857142857143,0.5587676763534546
NVT,2025-05-11,1,lstm,0.5818181818181818,0.514255166053772
OCH,2025-05-11,1,logistic_regression,0.7096774193548387,0.5173046669623591
OGC,2025-05-11,0,transformer,0.5,0.5043944120407104
ONE,2025-05-11,1,svm,0.6865671641791045,0.5328253937490776
OPC,2025-05-11,0,svm,0.6521739130434783,0.5576979905979912
ORS,2025-05-11,1,svm,0.6031746031746031,0.5306767812459625
PAC,2025-05-11,1,logistic_regression,0.5614035087719298,0.8918309564821079
PAN,2025-05-11,1,logistic_regression,0.5957446808510638,0.5302917784584221
PCG,2025-05-11,1,transformer,0.6,0.5503167510032654
PCT,2025-05-11,1,svm,0.7246376811594203,0.5689105074912705
PDC,2025-05-11,1,svm,0.7058823529411765,0.5832734500997461
PDN,2025-05-11,1,svm,0.4347826086956521,0.9767415162059894
PDR,2025-05-11,1,logistic_regression,0.6101694915254238,0.9960999980900237
PEC,2025-05-11,1,logistic_regression,0.9761904761904762,0.9982069865053989
PET,2025-05-11,1,transformer,0.625,0.6027316451072693
PFL,2025-05-11,1,svm,0.7777777777777778,0.7152132518787265
PGC,2025-05-11,1,transformer,0.7605633802816901,0.8829014301300049
PGD,2025-05-11,1,svm,0.6101694915254238,0.5
PGI,2025-05-11,1,svm,0.6461538461538462,0.5
PGS,2025-05-11,0,svm,0.6666666666666666,0.5112670677087692
PGT,2025-05-11,1,svm,0.7777777777777778,0.5605583088109323
PHC,2025-05-11,1,svm,0.6031746031746031,0.510176497400176
PHH,2025-05-11,1,svm,0.9647058823529412,0.5738254183336231
PHR,2025-05-11,1,lstm,0.6461538461538462,0.5068750381469727
PHS,2025-05-11,1,svm,0.8571428571428571,0.6131151603501341
PID,2025-05-11,1,lstm,0.9885057471264368,0.8781288862228394
PIT,2025-05-11,1,svm,0.625,0.5299087971093718
PIV,2025-05-11,1,svm,0.625,0.5218843364206401
PJC,2025-05-11,1,svm,0.7428571428571429,0.6159575736244804
PJS,2025-05-11,1,svm,0.9,0.6143609321160847
PJT,2025-05-11,1,svm,0.7246376811594203,0.5157913942811756
PLC,2025-05-11,1,svm,0.625,0.5112827230401145
PMC,2025-05-11,1,lstm,0.4347826086956521,0.551570475101471
PMS,2025-05-11,1,lstm,0.7428571428571429,0.5612891912460327
PMT,2025-05-11,1,svm,0.9,0.6708263685477298
PNC,2025-05-11,0,svm,0.6122448979591837,0.5
PNJ,2025-05-11,1,svm,0.4285714285714285,0.5369263982433019
POM,2025-05-11,0,logistic_regression,0.5384615384615384,0.5967438647107269
POT,2025-05-11,1,svm,0.7058823529411765,0.5095419812868182
POV,2025-05-11,1,svm,0.7246376811594203,0.6371652877080219
PPC,2025-05-11,1,svm,0.5957446808510638,0.5176720358527811
