Ticker,Date,Prediction,Model,F1_Score,Confidence
AAA,2025-05-11,0,svm,0.5263157894736842,0.5055264320998197
AAM,2025-05-11,1,transformer,0.5365853658536586,0.5459933280944824
ABI,2025-05-11,1,svm,0.6461538461538462,0.544238625714902
ABT,2025-05-11,1,svm,0.6206896551724138,0.6237666736166622
ACB,2025-05-11,1,svm,0.6545454545454545,0.6467825663669183
ACC,2025-05-11,0,logistic_regression,0.6885245901639344,0.996285761358911
ACE,2025-05-11,1,svm,0.6461538461538462,0.5602087095377098
ACL,2025-05-11,0,logistic_regression,0.4827586206896552,0.7079589343751642
ADC,2025-05-11,1,svm,0.7058823529411765,0.6038689290935091
ADP,2025-05-11,1,svm,0.7777777777777778,0.6370314118080506
AGF,2025-05-11,1,lstm,0.7777777777777778,0.7791886329650879
AGM,2025-05-11,1,transformer,0.4285714285714285,0.696853756904602
AGR,2025-05-11,0,svm,0.3333333333333333,0.6389445844046401
ALT,2025-05-11,1,svm,0.6666666666666666,0.5899523378443344
ALV,2025-05-11,0,svm,0.3571428571428571,0.6526568995024217
AMC,2025-05-11,1,svm,0.7246376811594203,0.6415563059142989
AME,2025-05-11,0,lstm,0.7096774193548387,0.7226672172546387
AMV,2025-05-11,1,lstm,0.7945205479452054,0.5764064788818359
ANV,2025-05-11,1,svm,0.6666666666666666,0.5
APC,2025-05-11,0,svm,0.2666666666666666,0.4772976985364067
APG,2025-05-11,0,logistic_regression,0.5263157894736842,0.5733664250865287
API,2025-05-11,1,svm,0.6031746031746031,0.9702226036690793
APP,2025-05-11,1,svm,0.6666666666666666,0.579770243187596
APS,2025-05-11,1,svm,0.5306122448979592,0.5
ARM,2025-05-11,1,lstm,0.7945205479452054,0.8503949046134949
ASA,2025-05-11,1,lstm,0.9885057471264368,0.906386137008667
ASM,2025-05-11,0,svm,0.5660377358490566,0.47545066475524145
ASP,2025-05-11,1,transformer,0.5862068965517241,0.5356293320655823
ATA,2025-05-11,1,svm,0.8108108108108109,0.7265008539705208
AVF,2025-05-11,1,lstm,0.9885057471264368,0.7011209726333618
BBC,2025-05-11,1,svm,0.7428571428571429,0.5055440293163015
BBS,2025-05-11,1,svm,0.9397590361445785,0.5798350970188797
BCC,2025-05-11,1,lstm,0.6428571428571429,0.5383613705635071
BCE,2025-05-11,1,svm,0.6666666666666666,0.5
BDB,2025-05-11,1,lstm,0.9523809523809524,0.9776026606559753
BED,2025-05-11,1,lstm,0.9885057471264368,0.9530545473098755
BHC,2025-05-11,0,svm,0.7301587301587301,0.5589185022728814
BIC,2025-05-11,1,transformer,0.71875,0.5128932595252991
BKC,2025-05-11,1,svm,0.6865671641791045,0.5745258519615837
BLF,2025-05-11,1,svm,0.6666666666666666,0.5584594660343155
BMC,2025-05-11,1,logistic_regression,0.6538461538461539,0.9827617187654156
BMI,2025-05-11,1,svm,0.625,0.5626325375100081
BMJ,2025-05-11,1,lstm,0.7605633802816901,0.5672025680541992
BMP,2025-05-11,1,svm,0.6461538461538462,0.7879550171480939
BPC,2025-05-11,1,svm,0.8108108108108109,0.5476556682370788
BRC,2025-05-11,1,svm,0.7777777777777778,0.514776717585748
BSC,2025-05-11,1,lstm,0.9885057471264368,0.9575801491737366
BSI,2025-05-11,1,svm,0.7428571428571429,0.9857475187277245
